question,answer,explanation
What is the supreme law of the land?,the Constitution,"The U.S. Constitution is the highest law. All other laws must follow it, and no law can go against it."
What does the Constitution do?,"▪ sets up the government
▪ defines the government
▪ protects basic rights of Americans","The Constitution explains how the government works, limits what it can do, and guarantees freedoms to the people."
The idea of self-government is in the first three words of the Constitution. What are these words?,We the People,"These words mean that the power of the government comes from the people, not from a king or ruler."
What is an amendment?,"▪ a change (to the Constitution)
▪ an addition (to the Constitution)",Amendments update or improve the Constitution. They allow the government to adapt over time.
What do we call the first ten amendments to the Constitution?,the Bill of Rights,"These ten amendments protect important freedoms, such as free speech, religion, and fair trials."
What is one right or freedom from the First Amendment?,"▪ speech
▪ religion
▪ assembly
▪ press
▪ petition the government","The First Amendment protects people’s ability to express themselves, practice religion freely, gather together, publish ideas, and ask the government to make changes."
How many amendments does the Constitution have?,twenty-seven (27),"Since 1787, the Constitution has been changed 27 times to reflect the country’s growth and new ideas."
What did the Declaration of Independence do?,"▪ announced our independence (from Great Britain)
▪ declared our independence (from Great Britain)
▪ said that the United States is free (from Great Britain)","In 1776, the colonies broke away from British rule and declared themselves an independent nation."
What are two rights in the Declaration of Independence?,"▪ life
▪ liberty
▪ pursuit of happiness","These rights are called “unalienable,” meaning no one can take them away because they are given to all people."
What is freedom of religion?,"You can practice any religion, or not practice a religion.",The government cannot force religion on anyone. People are free to follow their beliefs or choose not to follow any.
What is the economic system in the United States?*,"▪ capitalist economy
▪ market economy","In this system, people and businesses own property and make economic choices, though the government also has some rules."
What is the “rule of law”?,"▪ Everyone must follow the law.
▪ Leaders must obey the law.
▪ Government must obey the law.
▪ No one is above the law.","The law applies to everyone equally, including leaders. No one is above the law."
Name one branch or part of the government.,"▪ Congress
▪ legislative
▪ President
▪ executive
▪ the courts
▪ judicial","The U.S. government has three branches—legislative (makes laws), executive (enforces laws), and judicial (interprets laws)."
What stops one branch of government from becoming too powerful?,"▪ checks and balances
▪ separation of powers",Each branch of government can limit the power of the others so that no one branch becomes too powerful.
Who is in charge of the executive branch?,the President,The President leads the executive branch and is responsible for enforcing laws.
Who makes federal laws?,"▪ Congress
▪ Senate and House (of Representatives)
▪ (U.S. or national) legislature",The Senate and House of Representatives together make federal laws.
What are the two parts of the U.S. Congress?,the Senate and House (of Representatives),Congress is divided into two parts to balance power between large and small states.
How many U.S. Senators are there?,one hundred (100),"There are two U.S. Senators from each state, making 100 total."
We elect a U.S. Senator for how many years?,six (6),Senators serve six-year terms to provide stability in government.
The House of Representatives has how many voting members?,four hundred thirty-five (435),"The number of Representatives is based on state population, totaling 435."
We elect a U.S. Representative for how many years?,two (2),Representatives serve shorter terms so they stay accountable to voters.
Who does a U.S. Senator represent?,all people of the state,"Senators represent everyone in their entire state, not just one area."
Why do some states have more Representatives than other states?,"▪ (because of) the state’s population
▪ (because) they have more people
▪ (because) some states have more people","States with more people get more Representatives, while smaller states have fewer."
We elect a President for how many years?,four (4),The President is elected to serve a four-year term.
In what month do we vote for President?*,November,"Presidential elections are always held in November, usually the first Tuesday after the first Monday."
"If the President can no longer serve, who becomes President?",the Vice President,"If the President cannot serve, the Vice President becomes President."
"If both the President and the Vice President can no longer serve, who becomes President?",the Speaker of the House,"If both the President and Vice President cannot serve, the Speaker of the House is next in line."
Who is the Commander in Chief of the military?,the President,"The President is the Commander in Chief, in charge of the U.S. military."
Who signs bills to become laws?,the President,A bill must be signed by the President before becoming a law.
Who vetoes bills?,the President,The President can reject (veto) bills passed by Congress.
What does the President’s Cabinet do?,advises the President,The Cabinet helps the President by giving advice on important national matters.
What are two Cabinet-level positions?,"▪ Secretary of Agriculture
▪ Secretary of Commerce
▪ Secretary of Defense
▪ Secretary of Education
▪ Secretary of Energy
▪ Secretary of Health and Human Services
▪ Secretary of Homeland Security
▪ Secretary of Housing and Urban Development
▪ Secretary of the Interior
▪ Secretary of Labor
▪ Secretary of State
▪ Secretary of Transportation
▪ Secretary of the Treasury
▪ Secretary of Veterans Affairs
▪ Attorney General
▪ Vice President",Cabinet positions are heads of executive departments that assist the President in specific areas.
What does the judicial branch do?,"▪ reviews laws
▪ explains laws
▪ resolves disputes (disagreements)
▪ decides if a law goes against the Constitution",The judicial branch makes sure laws are fair and constitutional.
What is the highest court in the United States?,the Supreme Court,The Supreme Court is the highest court in the U.S. and has the final say on legal disputes.
How many justices are on the Supreme Court?,nine (9),"The Supreme Court has 9 justices, including one Chief Justice."
Who is the Chief Justice of the United States now?,John Roberts,The Chief Justice leads the Supreme Court and oversees important cases.
"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?","▪ to print money
▪ to declare war
▪ to create an army
▪ to make treaties",Some powers belong only to the federal government to keep national unity.
"Under our Constitution, some powers belong to the states. What is one power of the states?","▪ provide schooling and education
▪ provide protection (police)
▪ provide safety (fire departments)
▪ give a driver’s license
▪ approve zoning and land use",States have their own powers to govern local matters.
What are the two major political parties in the United States?,Democratic and Republican,These are the two main political parties in the U.S.
There are four amendments to the Constitution about who can vote. Describe one of them.,"▪ Citizens eighteen (18) and older (can vote).
▪ You don’t have to pay (a poll tax) to vote.
▪ Any citizen can vote. (Women and men can vote.)
▪ A male citizen of any race (can vote).","Amendments expanded voting rights, such as giving women the right to vote, lowering the voting age to 18, ending poll taxes, and guaranteeing all male citizens the right to vote regardless of race."
What is one responsibility that is only for United States citizens?,"▪ serve on a jury
▪ vote in a federal election","Only U.S. citizens can serve on a jury or vote in federal elections, which ensures that important decisions are made by citizens themselves."
Name one right only for United States citizens.,"▪ vote in a federal election
▪ run for federal office","Only U.S. citizens can vote in federal elections and run for federal office, which gives them a unique role in government."
What are two rights of everyone living in the United States?,"▪ freedom of expression
▪ freedom of speech
▪ freedom of assembly
▪ freedom to petition the government
▪ freedom of religion
▪ the right to bear arms","Everyone in the U.S. has rights such as freedom of expression and freedom of religion, which apply to both citizens and non-citizens."
What do we show loyalty to when we say the Pledge of Allegiance?,"▪ the United States
▪ the flag","When saying the Pledge of Allegiance, people show loyalty to the United States and its flag as a symbol of unity."
What is one promise you make when you become a United States citizen?,"▪ give up loyalty to other countries
▪ defend the Constitution and laws of the United States
▪ obey the laws of the United States
▪ serve in the U.S. military (if needed)
▪ serve (do important work for) the nation (if needed)
▪ be loyal to the United States","New citizens promise to be loyal to the United States, follow its laws, and defend the Constitution if needed."
How old do citizens have to be to vote for President?,eighteen (18) and older,Citizens must be at least 18 years old to vote for President in order to ensure maturity and fairness in the voting process.
What are two ways that Americans can participate in their democracy?,"▪ vote
▪ join a political party
▪ help with a campaign
▪ join a civic group
▪ join a community group
▪ give an elected official your opinion on an issue
▪ call Senators and Representatives
▪ publicly support or oppose an issue or policy
▪ run for office
▪ write to a newspaper","Americans can vote in elections, join a political party, contact officials, write to newspapers, campaign for candidates, or serve in public office."
When is the last day you can send in federal income tax forms?*,April 15th,"The last day to file federal income tax forms is April 15, unless the government announces an extension."
When must all men register for the Selective Service?,"▪ at age eighteen (18)
▪ between eighteen (18) and twenty-six (26)",All men must register with the Selective Service at age 18 so the government knows who is available if a military draft is ever needed.
What is one reason colonists came to America?,"▪ freedom
▪ political liberty
▪ religious freedom
▪ economic opportunity
▪ practice their religion
▪ escape persecution","One reason colonists came to America was for religious freedom, as many wanted to practice their religion without interference from the government or the Church of England."
Who lived in America before the Europeans arrived?,"▪ American Indians
▪ Native Americans","Native Americans lived in America before the Europeans arrived, having established diverse cultures, communities, and nations across the continent."
What group of people was taken to America and sold as slaves?,"▪ Africans
▪ people from Africa","Africans were taken to America and sold as slaves, brought forcibly to work on plantations and in households, forming a key part of the early American economy."
Why did the colonists fight the British?,"▪ because of high taxes (taxation without representation)
▪ because the British army stayed in their houses (boarding, quartering)
▪ because they didn’t have self-government","The colonists fought the British because of taxes and lack of representation in Parliament, feeling that they should not be taxed without having a voice in government decisions."
Who wrote the Declaration of Independence?,(Thomas) Jefferson,"Thomas Jefferson wrote the Declaration of Independence, which declared the colonies’ freedom from British rule and outlined the principles of liberty and equality."
When was the Declaration of Independence adopted?,"July 4, 1776","The Declaration of Independence was adopted on July 4, 1776, marking the official birth of the United States as an independent nation."
There were 13 original states. Name three.,New Hampshire; Massachusetts; Rhode Island; Connecticut; New York; New Jersey; Pennsylvania; Delaware; Maryland; Virginia; North Carolina; South Carolina; Georgia,"Three of the 13 original states are New York, Virginia, and Massachusetts, all of which played important roles in the founding of the nation."
What happened at the Constitutional Convention?,"▪ The Constitution was written.
▪ The Founding Fathers wrote the Constitution.","At the Constitutional Convention, the U.S. Constitution was written, creating the framework for the federal government and balancing power between states and the national government."
When was the Constitution written?,1787,"The Constitution was written in 1787, establishing the laws and principles that still govern the United States today."
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,"▪ (James) Madison
▪ (Alexander) Hamilton
▪ (John) Jay
▪ Publius","One writer of the Federalist Papers was Alexander Hamilton, who, along with James Madison and John Jay, wrote essays supporting the ratification of the Constitution."
What is one thing Benjamin Franklin is famous for?,"▪ U.S. diplomat
▪ oldest member of the Constitutional Convention
▪ first Postmaster General of the United States
▪ writer of “Poor Richard’s Almanac”
▪ started the first free libraries","One thing Benjamin Franklin is famous for is his experiments with electricity, including his famous kite experiment, which helped scientists understand the nature of electrical charge."
Who is the “Father of Our Country”?,(George) Washington,George Washington is called the “Father of Our Country” for his leadership during the Revolutionary War and his role as the first President of the United States.
Who was the first President?,(George) Washington,"The first President was George Washington, who set many precedents for the office and helped stabilize the new nation."
What territory did the United States buy from France in 1803?,"▪ the Louisiana Territory
▪ Louisiana","The United States bought the Louisiana Territory from France in 1803, which doubled the size of the country and gave Americans access to more land for settlement and trade."
Name one war fought by the United States in the 1800s.,"▪ War of 1812
▪ Mexican-American War
▪ Civil War
▪ Spanish-American War","One war fought by the United States in the 1800s was the War of 1812, fought against Britain over trade restrictions, the impressment of American sailors, and other conflicts."
Name the U.S. war between the North and the South.,"▪ the Civil War
▪ the War between the States","The U.S. war between the North and the South was the Civil War, fought mainly over slavery and states’ rights, resulting in the preservation of the Union."
Name one problem that led to the Civil War.,"▪ slavery
▪ economic reasons
▪ states’ rights","One problem that led to the Civil War was slavery, because the Southern economy depended on it while the North wanted it restricted or abolished, creating deep political and social divisions."
What was one important thing that Abraham Lincoln did?,"▪ freed the slaves (Emancipation Proclamation)
▪ saved (or preserved) the Union
▪ led the United States during the Civil War","One important thing that Abraham Lincoln did was preserve the Union during the Civil War, and he also worked to end slavery in the United States."
What did the Emancipation Proclamation do?,"▪ freed the slaves
▪ freed slaves in the Confederacy
▪ freed slaves in the Confederate states
▪ freed slaves in most Southern states","The Emancipation Proclamation freed the slaves in the Confederate states, declaring that all enslaved people in those areas “shall be then, thenceforward, and forever free.”"
What did Susan B. Anthony do?,"▪ fought for women’s rights
▪ fought for civil rights","Susan B. Anthony fought for women’s rights and women’s suffrage, organizing campaigns, giving speeches, and advocating for women to have the right to vote."
Name one war fought by the United States in the 1900s.,"▪ World War I
▪ World War II
▪ Korean War
▪ Vietnam War
▪ (Persian) Gulf War","One war fought by the United States in the 1900s was World War I, which involved countries around the world and saw the U.S. joining in 1917 to support the Allies."
Who was President during World War I?,(Woodrow) Wilson,"Woodrow Wilson was President during World War I, leading the country through the conflict and helping to shape the postwar peace with his Fourteen Points."
Who was President during the Great Depression and World War II?,(Franklin) Roosevelt,"Franklin D. Roosevelt was President during the Great Depression and World War II, guiding the nation through economic recovery and the global conflict."
Who did the United States fight in World War II?,"Japan, Germany, and Italy","The United States fought Germany, Italy, and Japan in World War II, joining the Allies to defeat the Axis powers."
"Before he was President, Eisenhower was a general. What war was he in?",World War II,"Before he was President, Dwight D. Eisenhower was a general in World War II, serving as Supreme Commander of the Allied Expeditionary Forces in Europe."
"During the Cold War, what was the main concern of the United States?",Communism,"During the Cold War, the main concern of the United States was the spread of communism, especially by the Soviet Union, and the threat it posed to democracy worldwide."
What movement tried to end racial discrimination?,civil rights (movement),"The civil rights movement tried to end racial discrimination, aiming for equal rights and justice for African Americans."
"What did Martin Luther King, Jr. do?","▪ fought for civil rights
▪ worked for equality for all Americans","Martin Luther King, Jr. led the civil rights movement, giving speeches and organizing peaceful protests to achieve equality and justice."
"What major event happened on September 11, 2001, in the United States?",Terrorists attacked the United States.,"A major event that happened on September 11, 2001, in the United States was a terrorist attack, where hijacked airplanes were used to strike the World Trade Center and the Pentagon."
Name one American Indian tribe in the United States.,Cherokee; Navajo; Sioux; Chippewa; Choctaw; Pueblo; Apache; Iroquois; Creek; Blackfeet; Seminole; Cheyenne; Arawak; Shawnee; Mohegan; Huron; Oneida; Lakota; Crow; Teton; Hopi; Inuit,"One American Indian tribe in the United States is the Navajo, one of the largest and most well-known Native American nations."
Name one of the two longest rivers in the United States.,"▪ Missouri (River)
▪ Mississippi (River)",One of the two longest rivers in the United States is the Mississippi River.
What ocean is on the West Coast of the United States?,Pacific (Ocean),The ocean on the West Coast of the United States is the Pacific Ocean.
What ocean is on the East Coast of the United States?,Atlantic (Ocean),The ocean on the East Coast of the United States is the Atlantic Ocean.
Name one U.S. territory.,"▪ Puerto Rico
▪ U.S. Virgin Islands
▪ American Samoa
▪ Northern Mariana Islands
▪ Guam",One U.S. territory is Puerto Rico.
Name one state that borders Canada.,Maine; New Hampshire; Vermont; New York; Pennsylvania; Ohio; Michigan; Minnesota; North Dakota; Montana; Idaho; Washington; Alaska,One state that borders Canada is Alaska.
Name one state that borders Mexico.,California; Arizona; New Mexico; Texas,One state that borders Mexico is Texas.
What is the capital of the United States?,"Washington, D.C.","The capital of the United States is Washington, D.C."
Where is the Statue of Liberty?,"▪ New York (Harbor)
▪ Liberty Island","The Statue of Liberty is located in New York Harbor, serving as a symbol of freedom and democracy."
Why does the flag have 13 stripes?,"▪ because there were 13 original colonies
▪ because the stripes represent the original colonies",The flag has 13 stripes to represent the 13 original colonies that declared independence from Britain.
Why does the flag have 50 stars?,"▪ because there is one star for each state
▪ because each star represents a state
▪ because there are 50 states",The flag has 50 stars to represent the 50 states of the United States.
What is the name of the national anthem?,The Star-Spangled Banner,The name of the national anthem is “The Star-Spangled Banner.”
When do we celebrate Independence Day?,4-Jul,"We celebrate Independence Day on July 4, marking the adoption of the Declaration of Independence in 1776."
Name two national U.S. holidays.,"▪ New Year’s Day
▪ Martin Luther King, Jr. Day
▪ Presidents’ Day
▪ Memorial Day
▪ Independence Day
▪ Labor Day
▪ Columbus Day
▪ Veterans Day
▪ Thanksgiving
▪ Christmas",Two national U.S. holidays are Thanksgiving and Christmas.